Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2023","2023","kg/ha","611.2","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01706","Cow peas, dry","2024","2024","kg/ha","650.8","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2003","2003","kg/ha","1132.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2004","2004","kg/ha","1135.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2005","2005","kg/ha","1200.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2006","2006","kg/ha","1241.2","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2007","2007","kg/ha","980.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2008","2008","kg/ha","1033.4","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2009","2009","kg/ha","998.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2010","2010","kg/ha","1125.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2011","2011","kg/ha","1032.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2012","2012","kg/ha","1062.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2013","2013","kg/ha","892","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2014","2014","kg/ha","1019.7","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2015","2015","kg/ha","1039.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2016","2016","kg/ha","1031.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2017","2017","kg/ha","1045","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2018","2018","kg/ha","1123.9","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2019","2019","kg/ha","1119","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2020","2020","kg/ha","1143.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2021","2021","kg/ha","1076.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2022","2022","kg/ha","1145.7","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2023","2023","kg/ha","1135.2","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0142","Groundnuts, excluding shelled","2024","2024","kg/ha","1135.3","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2003","2003","kg/ha","1508.2","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2004","2004","kg/ha","1541.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2005","2005","kg/ha","1587.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2006","2006","kg/ha","1656.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2007","2007","kg/ha","1556.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2008","2008","kg/ha","1705","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2009","2009","kg/ha","1922.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2010","2010","kg/ha","1723.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2011","2011","kg/ha","1562.7","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2012","2012","kg/ha","1575.4","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2013","2013","kg/ha","1524.7","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2014","2014","kg/ha","1665.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","1722.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","1775.2","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","1749.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","1773.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","1852.7","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","2017.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","1935.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","2062.8","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","1862","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","1979","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2003","2003","kg/ha","837.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2004","2004","kg/ha","828.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2005","2005","kg/ha","906.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2006","2006","kg/ha","921.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2007","2007","kg/ha","905.7","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2008","2008","kg/ha","1010.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2009","2009","kg/ha","784.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2010","2010","kg/ha","818.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2011","2011","kg/ha","502.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2012","2012","kg/ha","705","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2013","2013","kg/ha","597.2","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2014","2014","kg/ha","669.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2015","2015","kg/ha","732.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2016","2016","kg/ha","683","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2017","2017","kg/ha","664.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2018","2018","kg/ha","742.4","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2019","2019","kg/ha","717.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2020","2020","kg/ha","757.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2021","2021","kg/ha","634.4","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2022","2022","kg/ha","747.7","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2023","2023","kg/ha","702.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0118","Millet","2024","2024","kg/ha","742.7","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2003","2003","kg/ha","5340","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2004","2004","kg/ha","5527.2","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2005","2005","kg/ha","6102.4","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2006","2006","kg/ha","6191.7","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2007","2007","kg/ha","6584.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2008","2008","kg/ha","6764.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2009","2009","kg/ha","6623.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2010","2010","kg/ha","6533.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2011","2011","kg/ha","6532.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2012","2012","kg/ha","6388.7","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2013","2013","kg/ha","6502.6","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2014","2014","kg/ha","6507.7","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2015","2015","kg/ha","6618.5","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2016","2016","kg/ha","6626.1","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2017","2017","kg/ha","6724.5","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2018","2018","kg/ha","6828.8","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2019","2019","kg/ha","6611.9","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2020","2020","kg/ha","6593.8","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2021","2021","kg/ha","6643.7","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2022","2022","kg/ha","6538","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2023","2023","kg/ha","6417.3","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01313","Plantains and cooking bananas","2024","2024","kg/ha","6354.9","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2003","2003","kg/ha","1595.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2004","2004","kg/ha","1572.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2005","2005","kg/ha","1621.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2006","2006","kg/ha","1679.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2007","2007","kg/ha","1597.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2008","2008","kg/ha","1985.7","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2009","2009","kg/ha","2038.2","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2010","2010","kg/ha","1851.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2011","2011","kg/ha","1943.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2012","2012","kg/ha","1936.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2013","2013","kg/ha","2003.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2014","2014","kg/ha","2061.4","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2015","2015","kg/ha","2047.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2016","2016","kg/ha","2031.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2017","2017","kg/ha","2059","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2018","2018","kg/ha","2021.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2019","2019","kg/ha","2157.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2020","2020","kg/ha","2145.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2021","2021","kg/ha","2125.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2022","2022","kg/ha","2118.8","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2023","2023","kg/ha","2143.6","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0113","Rice","2024","2024","kg/ha","2161.9","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2003","2003","kg/ha","941.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2004","2004","kg/ha","978.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2005","2005","kg/ha","1020.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2006","2006","kg/ha","1049.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2007","2007","kg/ha","917.2","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2008","2008","kg/ha","992.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2009","2009","kg/ha","920.4","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2010","2010","kg/ha","1013.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2011","2011","kg/ha","847.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2012","2012","kg/ha","927.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2013","2013","kg/ha","827.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2014","2014","kg/ha","934.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2015","2015","kg/ha","965","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2016","2016","kg/ha","988.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2017","2017","kg/ha","904.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2018","2018","kg/ha","957.2","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2019","2019","kg/ha","954","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2020","2020","kg/ha","955.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2021","2021","kg/ha","856.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2022","2022","kg/ha","962.9","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2023","2023","kg/ha","913","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","0114","Sorghum","2024","2024","kg/ha","934.3","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2003","2003","kg/ha","10450.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2004","2004","kg/ha","10960.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2005","2005","kg/ha","10986.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2006","2006","kg/ha","11558.7","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2007","2007","kg/ha","9963.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2008","2008","kg/ha","11084.2","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2009","2009","kg/ha","10304.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2010","2010","kg/ha","11928.4","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2011","2011","kg/ha","8126.4","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2012","2012","kg/ha","7977.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2013","2013","kg/ha","7824.9","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2014","2014","kg/ha","8659.3","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2015","2015","kg/ha","8562.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2016","2016","kg/ha","9290.6","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2017","2017","kg/ha","9426.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2018","2018","kg/ha","9895.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2019","2019","kg/ha","8202.1","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2020","2020","kg/ha","8255.5","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2021","2021","kg/ha","8387.8","A","Official figure",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2022","2022","kg/ha","8556.4","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2023","2023","kg/ha","8496.2","E","Estimated value",""
"QCL","Crops and livestock products","011","Western Africa","5412","Yield","01540","Yams","2024","2024","kg/ha","8438.9","E","Estimated value",""
